outcome,var,beta,se,pval,N,ctrl_mean
Early Literacy Skills,Preliteracy_zi,0.1685686823327933,0.0726001852335008,0.021188880085802893,3682,0.0
Early Math Skills,Premath_zi,0.11475258492254078,0.062496282310775225,0.06773585117418361,3682,0.0
Executive Function,Executive_funct_zi,0.059398981134674435,0.05544559944943184,0.28525174470787273,3682,-4.288586e-09
Social-Emotional Development,Socioemo_cogn_zi,0.06151155518679689,0.0618322212580612,0.32096087021785497,3682,-1.7154344e-08
Fine Motor Skill for Writing,Fine_motor_zi,0.1350338420647111,0.05436414428109406,0.013770869906114203,3682,8.577172e-09
Literacy interest,literacyinterest_zi,0.09720250294454547,0.056424092598067126,0.08639874586629209,3682,0.0
Skills index,skills_zi,0.15781027147545762,0.06754184751101172,0.020399602690846133,3682,0.0
