outcome,beta,se,pval,N,ctrl_mean
wenttopreschl,0.7341274992916944,0.019649199906163782,3.139758542163374e-95,3764,0.019199122325836534
enroledatschool,0.05974981091651671,0.02560339340841265,0.020549626784908945,3760,0.6331685886875343
schl_repetition_uncon,-0.029779757829551168,0.015013880309423596,0.048604164665251685,3742,0.1448237885462555
app_grade1,0.05729945486323519,0.02566769887133263,0.026637339611551035,3760,0.6309719934102141
enrolment_zi,0.15860685942648772,0.05212169176387612,0.0026383093401992795,3680,-1.71639928936429e-08
