block,var,ctrl_mean,ctrl_sd,trt_mean,trt_sd,pval,N
target,female,0.4909810822701276,0.5000286577115426,0.49502899751449875,0.5000788781421732,0.6281270689220723,4687
target,ageinmonth,47.153101627804666,6.46900521315711,46.980115990057996,6.4418417507688694,0.45432171000644844,4687
target,zhfa_35,-2.182955265045166,1.1275357007980347,-2.0982606410980225,1.1743983030319214,0.1790370725945676,4609
target,wenttopreschl,0.0057293962097840455,0.07549226413430592,0.006213753106876553,0.07859835553830948,0.9034665061981715,4683
target,total_score_zi_nostd,0.043410710990428925,3.381026029586792,-0.040924977511167526,3.3489432334899902,0.6050380049336931,4682
target,score_com_zi_nostd,-0.0019632342737168074,1.0047433376312256,0.0018508100183680654,0.9950870871543884,0.5099786461989246,4682
target,score_grossmotor_zi_nostd,-0.006757637020200491,1.0334372520446777,0.006367564667016268,0.9669640064239502,0.5315277115896484,4677
target,score_finemotor_zi_nostd,0.0023978615645319223,1.00510573387146,-0.0022585541009902954,0.994744598865509,0.9882765821978567,4680
target,score_pbmsolving_zi_nostd,0.03323560208082199,1.0074117183685303,-0.031332485377788544,0.9915240406990051,0.1069869618563678,4682
target,score_socioperso_zi_nostd,0.012645060196518898,0.9909814596176147,-0.011920993216335773,1.0078710317611694,0.2452372000015385,4682
caregiver,IDADE,31.96912218791354,8.923669610994866,31.873697373905795,9.222545766696124,0.9914721200100579,4666
caregiver,female,0.8402288732394366,0.3664743186605898,0.8334714167357083,0.3726316339995458,0.5693861410991667,4686
caregiver,speaks_port,0.16153502900490851,0.36810586568039616,0.141156462585034,0.3482569188207099,0.25304354057514894,4593
caregiver,illiterate,0.8107507774322523,0.3917935007039292,0.821608040201005,0.382922539409665,0.435628753782711,4639
caregiver,noschooling,0.44350908285334517,0.49690862070731406,0.45692883895131087,0.4982451030308244,0.502029502939137,4660
caregiver,educ_year,2.2393238434163703,2.5915582867201215,2.2201336675020884,2.611091258150438,0.736328499309285,4642
hh,AF05,5.135063792344918,1.5370333678335273,5.083264291632146,1.577696794920369,0.5404308820782798,4687
hh,nbr_children,3.1425428948526175,1.4191559343676605,3.068351284175642,1.4185617585975063,0.268315526807424,4687
hh,nbr_children35,1.0805103387593489,0.27695099226356684,1.0625517812758907,0.24728503499371815,0.022005488239576786,4687
hh,C01,0.11316600616468515,0.316865385344965,0.09763190693809722,0.2968779790467303,0.26402975279594226,4678
hh,wealth_index,-6.713061662111386e-09,1.0,-0.013224654830992222,0.9312683939933777,0.5499431429235975,4687
hh,stimul_index,0.0,1.0,-0.06389246135950089,0.9982265830039978,0.49678244233339913,4687
