outcome,var,beta,se,pval,N
Preschool enrolled,wenttopreschl,0.7341274992916944,0.019649199906163782,3.139758542163374e-95,3764
Primary enrolled,enroledatschool,0.05974981091651671,0.02560339340841265,0.020549626784908945,3760
Appropriate grade,app_grade1,0.05729945486323519,0.02566769887133263,0.026637339611551035,3760
Primary enrol. index,enrolment_zi,0.15860685942648772,0.05212169176387612,0.0026383093401992795,3680
Skills index,skills_zi,0.15781027147545762,0.06754184751101172,0.020399602690846133,3682
