outcome,beta,se,pval,N,ctrl_mean
Parental_stimul_index_EL_zi,0.17086461872995398,0.054333186051858294,0.0019006685580508496,3760,0.0
Home_play_index_EL_zi,0.07699383618584787,0.044593558314236725,0.08570190976874689,3763,-6.281060116464232e-09
pedschldrtr,0.06688944471725551,0.021341049396955785,0.001966508181689636,3765,0.21162280701754385
times_pedschldrtr,0.22180607795671414,0.05764006608180248,0.00015750930539629607,3760,0.3975837451949478
teacherschlmeet,0.009472406849943809,0.02857699566662254,0.7406187429915391,2126,0.32087227414330216
times_teacherschlmeet,0.13770882879354626,0.09974438986896886,0.168857391032023,2122,0.6243496357960457
school_committee,0.013808756736982142,0.014690990606610268,0.3483143280570921,3765,0.13760964912280702
