spec,coef,se,n,r2,pub_coef,pub_se
(1) Retirements_2010_Post2010 (FE only),-0.2374667650823147,0.033225748956288784,8446,0.1352867345676082,-0.237,0.0342
(2) Retirements_2010_Post2010 (bench+case),-0.2024752553195635,0.03860471234346868,8446,0.14234136402562114,-0.21,0.0383
(3) Retirements_2009_Post2010,0.0639709621280047,0.05922219374387976,8446,0.14066794904397972,0.0677,0.0589
(4) Retirements_2008_Post2010,0.1261913072796957,0.10899258191691738,8446,0.1405778054718667,0.143,0.112
(5) Retirements_2007_Post2010,0.103578277791237,0.09554386761156361,8446,0.14066132347657168,0.115,0.0968
