age,meanprop,sdprop,nprop,meanhalf,sdhalf,nhalf,seprop,sehalf
4.0,0.2740740740740741,0.26149230717472366,45,0.37777777777777777,0.4903101471559001,45,0.038980971629062534,0.07309112127323451
4.5,0.32,0.31378025732448706,50,0.36,0.4848732213850612,50,0.04437522955132093,0.06857142857142857
5.0,0.2650273224043716,0.2711037951773506,61,0.36065573770491804,0.4841758249935623,61,0.03471128407247487,0.0619923619711116
5.5,0.34782608695652173,0.2811320637766513,69,0.391304347826087,0.49161771686915634,69,0.03384432332751504,0.05918381823737153
6.0,0.39333333333333337,0.23013683530231083,25,0.48,0.5099019513592784,25,0.04602736706046216,0.10198039027185568
6.5,0.34722222222222227,0.1960766552917572,24,0.5416666666666666,0.5089773777040515,24,0.04002397966136602,0.10389457216622948
