dimension,accuracy,rate,p_value,n_test
After crisis,0.6726342710997443,0.5025614754098361,1.1639197241581794e-11,391
Biden voter,0.731457800511509,0.5112704918032787,8.810397170572805e-19,391
College,0.5524296675191815,0.6608606557377049,1.0877228276098088e-05,391
High income,0.5575447570332481,0.6086065573770492,0.04317909548230214,391
Male,0.59846547314578,0.5035860655737705,0.0001768286429942404,391
White,0.7212276214833759,0.8227459016393442,7.813507829447813e-07,391
Old,0.6572890025575447,0.5189549180327869,3.82561414822872e-08,391
