scenario,n_countries,median_share_dom,median_share_ext,median_fama_dom,median_fama_ext
baseline,18,0.15230987133211082,0.8476901286678893,0.6757159138475141,-2.996976787779271
fixed p=4,18,0.11525542250240228,0.8847445774975977,-0.575577787560559,-3.173484018343455
fixed p=6,18,0.11159133158948373,0.8884086684105164,-0.0539736386084404,-3.056784311995286
H=6 (shorter max-share horizon),18,0.1725839669847089,0.8274160330152911,-0.06326256503118696,-2.9750466904802026
H=24 (longer max-share horizon),18,0.17402584282330652,0.8259741571766936,-0.3628102744686925,-2.8590537665062357
post-1990 sample,18,0.3588904296289349,0.641109570371065,-0.8263810371442497,-2.2276063195103797
winsorize Δfx 1%,18,0.19139569206980273,0.8086043079301972,0.4672258359618344,-2.9148032498045833
winsorize Δfx 5%,18,0.15833710558222763,0.8416628944177724,-0.06264560986569415,-2.7672599064061725
