ord1,country,share_resid,share_ext,share_dom,share_ext_total
16,Australia,0.1744249811010753,0.032777784847715506,0.7927972340512094,0.2072027659487908
17,Austria,0.8424470676111221,0.020346214859746692,0.13720671752913124,0.8627932824708688
19,Belgium,0.6886792756289768,0.29492738263088064,0.0163933417401424,0.9836066582598575
12,Brazil,0.20737558578893994,0.34877818093272817,0.443846233278332,0.556153766721668
3,Canada,0.05920856597918658,0.6054445299729515,0.3353469040478621,0.6646530959521381
2,France,0.5245304746007343,0.26044027605149533,0.21502924934777046,0.7849707506522297
1,Germany,0.8134513573068944,0.053229921619246175,0.13331872107385923,0.8666812789261407
7,Indonesia,0.02967147126249742,0.8243877996163479,0.14594072912115486,0.8540592708788454
4,Italy,0.06377459080759085,0.3972375659100346,0.5389878432823745,0.46101215671762547
5,Japan,0.9087062393823904,0.026100655564399205,0.06519310505321033,0.9348068949467896
9,Korea,0.06502801260014142,0.35225958951114134,0.5827123978887173,0.41728760211128274
8,Mexico,0.08822492977785765,0.8371248622359625,0.07465020798617988,0.9253497920138202
46,New Zealand,0.19951256402140027,0.5908662199493815,0.2096212160292183,0.7903787839707818
48,Norway,0.43839524443328187,0.5275814260940299,0.03402332947268823,0.9659766705273118
10,Philippines,0.3138481979905665,0.660127120740393,0.026024681269040277,0.9739753187309595
11,South Africa,0.1220927385695171,0.876229705919452,0.0016775555110307625,0.9983224444889691
57,Switzerland,0.6167127502531727,0.2246082362037604,0.15867901354306682,0.8413209864569331
6,UK,0.031076787408654664,0.7343260716316475,0.2345971409596975,0.7654028590403023
