scenario,outcome,mean_y,conv,robust_ci_lo,robust_ci_hi,h
none,DriverLicense,0.013044011235858003,0.18612863723543802,0.1236517756211507,0.2312498488980822,12.737829815599438
none,VehicleMiles_150,513.9131952921549,374.9337339966381,159.06181232342612,530.4211576241618,14.093855705721039
none,VehicleMiles_265,549.2179311116537,574.9659438153489,231.34615355958726,855.6078337412771,14.467314057076827
Male,DriverLicense,0.01631301505646358,0.19347981624575178,0.13884330446017384,0.23122629076718265,13.037738405981267
Male,VehicleMiles_150,569.3217290242513,485.77341613917287,194.94419818176607,733.7501540766552,14.614420635318744
Male,VehicleMiles_265,612.9719187418619,753.2164196068751,327.5840545494757,1193.6736839975895,16.047677690051486
Female,DriverLicense,0.010059669788461179,0.17904132023854197,0.10290573841041363,0.23239381414525156,13.440802228818573
Female,VehicleMiles_150,458.4606285095215,233.81020010537816,-105.39113721089643,478.8011348221006,12.153846654335178
Female,VehicleMiles_265,484.2000668843587,327.1949039165321,-143.63700396720998,675.9770233982026,12.916472880959125
