scenario,outcome,mean_y_pub,conv,robust_ci_lo,robust_ci_hi,h
none,cod_any,38.942935603488394,5.844236972245554,1.9897721368100698,9.364031455697225,10.533961365245677
none,cod_internal,12.201500084722682,0.40573860457400673,-0.12018156420932757,1.1713985225583268,12.42573722640295
none,cod_external,26.741435518765712,5.196119660074222,1.4156565572317517,8.472859193016678,9.299877743848663
none,cod_MVA,11.21656335834921,4.922692887609019,2.36097859599858,7.066291191182838,8.736944814042554
none,cod_sa,10.478646135075877,0.1670167947704142,-0.6803261361952072,0.9236698322718416,10.467853107874356
none,cod_sa_firearms,3.642679451723541,0.09141184407545012,-0.3262546258183828,0.47401341422164756,11.427164757845674
none,cod_sa_poisoning,1.0776745453925998,0.3135603929347763,0.18252736056481894,0.5221208117474638,11.497409512415214
none,cod_sa_poisoning_subst,0.8640540258195859,0.3151104395554608,0.23263445808635383,0.49641666230913195,8.801566328525894
none,cod_sa_poisoning_gas,0.2136205195730141,0.10309193028274398,-0.030107278453756256,0.21539470592372723,12.52193579093374
none,cod_sa_drowning,1.532045984996125,-0.2943039553716794,-0.5760709587718056,-0.09668584031809394,10.964951902686712
none,cod_sa_other,4.226246152963613,0.10521121034610142,-0.3164307138790795,0.4627445140623342,14.851446408172794
none,cod_homicide,4.803119468209895,-0.04230753237797892,-0.6226220359491172,0.5337236357215274,10.929011288579197
none,cod_extother,0.24310655713072726,0.006084336126157443,-0.14814731340032286,0.15419953892995417,13.679709696708334
Male,cod_any,50.60820279061451,5.724197808770338,-0.8085933910134777,11.308412554815002,9.87206058367596
Male,cod_internal,13.77982779064334,-0.05890186819604745,-0.9787849713923766,1.0329912695550976,17.299925250817143
Male,cod_external,36.82837499997117,5.563986992407742,0.03774973725935027,10.269323260091682,9.468839578794537
Male,cod_MVA,13.560042983670167,5.666191673238056,2.7622579742654443,8.101395187289992,9.27020304055269
Male,cod_sa,15.611376006302214,-0.05055307204256826,-1.6293423065688895,1.2178513394545825,9.710114648853658
Male,cod_sa_firearms,5.871880773747269,0.5288864505173126,0.010830732849002267,1.0370010737479445,11.427565238060009
Male,cod_sa_poisoning,1.1669132920266065,0.13301196888540545,-0.2177031330222442,0.4580739777553663,14.185348394760252
Male,cod_sa_poisoning_subst,0.8965539712820111,0.044690002730491674,-0.24183264846254754,0.3053416813668784,10.52306368304627
Male,cod_sa_poisoning_gas,0.2703593207445954,0.07984969434022941,-0.14863579149758543,0.2577966712733427,11.655976856970394
Male,cod_sa_drowning,2.6384455184883273,-0.6903956901882714,-1.1959970150607064,-0.3517166343383797,10.746293791617399
Male,cod_sa_other,5.934136422040009,0.04058797862071464,-0.5107183155781588,0.5119036696177316,11.717566444540639
Male,cod_homicide,7.329113453680088,-0.032049761225887596,-1.183134779555959,1.1012271762493426,11.006127957905603
Male,cod_extother,0.3278425563187051,-0.05705105343847249,-0.31601484824662646,0.15378601426422223,14.155372175836522
Female,cod_any,26.655592825587835,5.763815897714126,4.3493685099455215,7.5266926429025345,10.772311479832503
Female,cod_internal,10.539005553220754,0.8204802016895338,-0.04196826988528568,2.0040545832556074,11.856473587516524
Female,cod_external,16.116587272367077,4.822789188220193,2.8104286740740685,6.663805818737745,9.938739994394012
Female,cod_MVA,8.748109424537786,4.459676038935614,2.4134649761376874,6.14446681491412,10.265441244558437
Female,cod_sa,5.072210252279519,0.33741689248644663,-0.02592524133634727,0.8490623276494895,11.998414928492826
Female,cod_sa_firearms,1.2946053518744247,-0.3328531664979353,-0.7154931306840632,-0.05603983985522787,13.490977277101848
Female,cod_sa_poisoning,0.9836736516333656,0.7470074956161262,0.5909433111315688,1.0667056120144212,7.282080210840728
Female,cod_sa_poisoning_subst,0.8298183816771535,0.6458754935885178,0.47601961859000547,0.9989366904700587,7.522626840375006
Female,cod_sa_poisoning_gas,0.15385526995621213,0.12702089233862707,0.033267672036532275,0.2434033208636188,13.84424604405992
Female,cod_sa_drowning,0.36664811665729374,0.12633797320796658,-0.002580529841720497,0.2702745559297979,13.012311183415248
Female,cod_sa_other,2.4272831321144355,0.0749168991709927,-0.5192227425405538,0.6394853288183362,17.281520371762227
Female,cod_homicide,2.1424163003153636,-0.07790739935653022,-0.33495835502202,0.15375847249011687,14.471725156203414
Female,cod_extother,0.1538512952344082,0.14263565938240513,0.08718598103443252,0.24744900874968734,8.68536448959801
