event_time,estimate,se,pval,ci_lo,ci_hi
-6,-0.5831658059347677,0.6794308893419129,0.3907184821220483,-1.914850349044917,0.7485187371753814
-5,-0.8770956940557704,0.5255277186239569,0.09512117673524279,-1.9071300225587258,0.15293863444718503
-4,-0.5607240566453663,0.4882349753277332,0.25077388547919677,-1.5176646082877232,0.39621649499699074
-3,-0.25809174874205565,0.4603156639943061,0.5750127972231889,-1.1603104501708956,0.6441269526867843
-2,0.17150081569868703,0.43469338773702193,0.6931876883308123,-0.6804982242658759,1.02349985566325
-1,0.0,0.0,1.0,0.0,0.0
0,0.08124373208685387,0.33341384880483343,0.8074845986992039,-0.5722474115706196,0.7347348757443274
1,0.28082675906309124,0.35328703684586116,0.42667349634039564,-0.4116158331547966,0.9732693512809791
2,0.8842136304417942,0.48708547943684843,0.06947549832499432,-0.07047390925442865,1.8389011701380171
3,1.1368049825147484,0.5083524074007993,0.02533515349220913,0.1404342640091817,2.133175701020315
4,2.533452827994107,0.9241893579126299,0.006120213862063074,0.7220416864853525,4.344863969502862
5,2.730665255746273,1.0929975897014654,0.012478107440982598,0.5883899799314007,4.872940531561145
6,2.5085823645146847,1.27321186072176,0.048806424273921005,0.013087117500035106,5.004077611529334
7,2.3539403194067905,1.3495838215159526,0.08112470984009025,-0.2912439707644765,4.9991246095780575
