variable,obs,mean,sd,median,min,max
Has a childcare law,4960,0.7548387096774194,0.43022616087291093,1.0,0.0,1.0
Law regulates availability,4960,0.7612903225806451,0.4263379097571843,1.0,0.0,1.0
Law regulates affordability,4960,0.3870967741935484,0.48713520144459527,0.0,0.0,1.0
Law regulates quality,4960,0.33548387096774196,0.47220694490042764,0.0,0.0,1.0
FLFP 25-54,4960,64.43775907258065,19.313766302674676,68.497,5.133,96.362
FLFP 25-54 w. children <6,2940,58.491570068027215,20.0271740233074,61.007999999999996,4.019,96.339
% of women working (25+),4960,50.38624415322581,17.26592316368748,51.142,3.544,91.639
Female unemployment rate (25+),4960,7.398329233870968,6.160186990398667,5.427,0.068,37.874
