year,N_s1,N_s2,mex_s1,mex_s1_se,blk_s1,blk_s1_se,mex_s2,mex_s2_se,blk_s2,blk_s2_se,mex_s1_auth,mex_s2_auth,blk_s1_auth,blk_s2_auth
1970,310675,310675,-0.44255123518474315,0.01109039950024393,-0.5268464655065381,0.005180823193571716,-0.16652315148872143,0.0105861269276073,-0.35873706705148006,0.004989041137552463,-0.4425512351848581,-0.16652315148880964,-0.5268464655071528,-0.35873706705193864
1980,1978858,1978858,-0.3629057197528427,0.004321253690611583,-0.45342557479243095,0.002357713213383592,-0.16192503752036339,0.004198306062327598,-0.34411419890319866,0.002305321081294195,-0.3629057197486698,-0.16192503751836881,-0.4534255747940965,-0.3441141989043188
1990,2285507,2285507,-0.3685947109876601,0.004539718310016688,-0.5076922025086902,0.0029115487808654373,-0.1819962508763966,0.004372398695006123,-0.3995330035913367,0.002813852689866174,-0.3685947109875938,-0.18199625087666438,-0.5076922025094776,-0.3995330035921092
2000,2446592,2446592,-0.3621832912275194,0.004057484611993507,-0.4643034853740934,0.0024447512520575196,-0.17494608813982085,0.003926144595463366,-0.3546545714004522,0.0023343687416762984,-0.36218329122757636,-0.17494608813989387,-0.4643034853741384,-0.35465457140052
2010,470790,470790,-0.34237862385958207,0.009315863088025992,-0.4739287709569087,0.006867667928464845,-0.13538990836579592,0.009132284270079217,-0.3562344838588013,0.006554093429271984,-0.34237862385974105,-0.13538990836586393,-0.4739287709569557,-0.35623448385883544
2019,469462,469462,-0.32837796910508305,0.007714988917051086,-0.4687829372891215,0.0069317416476988745,-0.14131166916261162,0.007613337704387956,-0.36595723725570745,0.006679819612102367,-0.32837796910507105,-0.14131166916261256,-0.4687829372891126,-0.36595723725570667
