year,N,mex_repl,mex_se_repl,mex_auth,mex_se_auth,blk_repl,blk_se_repl,blk_auth,blk_se_auth
1970,326675,-3.3747347325065653,0.05389456975866288,-3.374734732506263,0.05389456975864972,-2.542670185297455,0.022740175735838652,-2.542670185300971,0.022740175735870078
1980,2147969,-2.4859935293491477,0.016928592603903034,-2.4859935293567643,0.01692859260396219,-1.7992109789246826,0.007292355877510511,-1.7992109789093202,0.007292355877447025
1990,2491091,-1.59421232375088,0.013541162267442819,-1.594212323749628,0.013541162274810557,-1.2839694497883174,0.006612265202407867,-1.2839694497892797,0.00661226520601479
2000,2737004,-1.4359505117964337,0.012036024684067875,-1.4359505117972944,0.012036024710142106,-1.1387252959920786,0.00531080427977409,-1.1387252959928766,0.005310804291279998
2010,557488,-1.215358412405825,0.019499257225634642,-1.215358412405732,0.019499257225632893,-1.0499802618118133,0.011825127270185044,-1.049980261811592,0.01182512727018249
2019,551304,-1.2357168375597714,0.018522760534567504,-1.2357168375597338,0.018522760534568004,-0.9624708376347871,0.01356703472920065,-0.9624708376346061,0.013567034729198247
