sector,var,coef,se,t
1,d0_375,-3.3609050874640536,1.0621086884533284,-3.1643702042945296
1,d375_750,-3.3886750847448726,0.6397404554173465,-5.296952937788197
1,d750_1500,-4.078830714541193,0.5781495817481841,-7.054974773496849
1,d1500_3000,-4.399587186807235,0.5882763924694413,-7.478775696469541
1,d3000_6000,-5.20550489711746,0.5953754181563193,-8.743231141851952
1,d6000_,-6.623981276086303,0.5097373773949231,-12.994890251013162
1,contig,0.8886095288879099,0.36318303534178087,2.4467264228123033
1,FTA,0.8150048609597771,0.360464629427433,2.26098428091084
1,CU,1.4629106492871586,0.38911965514040875,3.759539334396476
2,d0_375,-1.6985391270537509,1.7482905368798065,-0.9715428249615493
2,d375_750,-3.5796975137112965,1.0530487100091848,-3.3993655561100056
2,d750_1500,-4.568920670194218,0.9516666737217677,-4.800967393684316
2,d1500_3000,-5.063635642839277,0.968335972773006,-5.229213604797347
2,d3000_6000,-5.289284093411142,0.9800213676524219,-5.397110989611667
2,d6000_,-8.771916636705622,0.8390563441216354,-10.454502487420541
2,contig,0.5569048185892319,0.5978196683128075,0.9315598801908822
2,FTA,1.5201193418149912,0.593345019543694,2.5619484309213947
2,CU,-0.20889516311659373,0.6405128008006161,-0.32613737439046164
3,d0_375,-3.809109166073939,0.6432397532167645,-5.921756463317204
3,d375_750,-4.013008767133149,0.38744292099208927,-10.357677349885265
3,d750_1500,-4.509989835158546,0.3501419377593381,-12.880461746511445
3,d1500_3000,-4.717264779797721,0.356274989206926,-13.240516238028468
3,d3000_6000,-5.085186068460021,0.36057433783343673,-14.103017144855897
3,d6000_,-6.479896804905924,0.3087097849828757,-20.99025401888498
3,contig,0.8863857584174613,0.21995278690917905,4.029891009216718
3,FTA,0.26497676342620746,0.21830645186974496,1.21378347344635
3,CU,1.1728340409757032,0.2356606566403281,4.976791873943199
4,d0_375,-2.499632249270143,0.6532135046676569,-3.826669582622775
4,d375_750,-3.0042188475778593,0.39345041567204053,-7.635571670311863
4,d750_1500,-3.3275933491650567,0.3555710621912179,-9.358448150022832
4,d1500_3000,-3.516182276681635,0.3617992096437836,-9.718601320725826
4,d3000_6000,-4.166196863287104,0.3661652218034281,-11.377915255763101
4,d6000_,-4.9460252750652725,0.3134964833336539,-15.776972112957402
4,contig,1.001388398291568,0.22336326397716583,4.483227816701043
4,FTA,0.7632125646535748,0.22169140169628546,3.44268004448439
4,CU,1.0404643278493626,0.23931469202034086,4.347682622682133
5,d0_375,-3.0673172143394973,1.3059240644268602,-2.348771492839955
5,d375_750,-4.3011406596746,0.7865978922868245,-5.468029728849356
