sector,N,R2,RMSE,b_d0_375,se_d0_375,b_d375_750,se_d375_750,b_d750_1500,se_d750_1500,b_d1500_3000,se_d1500_3000,b_d3000_6000,se_d3000_6000,b_d6000_,se_d6000_,b_contig,se_contig,b_FTA,se_FTA,b_CU,se_CU
1,342,0.8093184231607171,1.2470903303494478,-3.3609050874640536,1.0621086884533284,-3.3886750847448726,0.6397404554173465,-4.078830714541193,0.5781495817481841,-4.399587186807235,0.5882763924694413,-5.20550489711746,0.5953754181563193,-6.623981276086303,0.5097373773949231,0.8886095288879099,0.36318303534178087,0.8150048609597771,0.360464629427433,1.4629106492871586,0.38911965514040875
2,342,0.7748103286132566,2.0527807058609313,-1.6985391270537509,1.7482905368798065,-3.5796975137112965,1.0530487100091848,-4.568920670194218,0.9516666737217677,-5.063635642839277,0.968335972773006,-5.289284093411142,0.9800213676524219,-8.771916636705622,0.8390563441216354,0.5569048185892319,0.5978196683128075,1.5201193418149912,0.593345019543694,-0.20889516311659373,0.6405128008006161
3,342,0.8675001341134058,0.7552692912258779,-3.809109166073939,0.6432397532167645,-4.013008767133149,0.38744292099208927,-4.509989835158546,0.3501419377593381,-4.717264779797721,0.356274989206926,-5.085186068460021,0.36057433783343673,-6.479896804905924,0.3087097849828757,0.8863857584174613,0.21995278690917905,0.26497676342620746,0.21830645186974496,1.1728340409757032,0.2356606566403281
4,342,0.8978622520119329,0.7669801162355382,-2.499632249270143,0.6532135046676569,-3.0042188475778593,0.39345041567204053,-3.3275933491650567,0.3555710621912179,-3.516182276681635,0.3617992096437836,-4.166196863287104,0.3661652218034281,-4.9460252750652725,0.3134964833336539,1.001388398291568,0.22336326397716583,0.7632125646535748,0.22169140169628546,1.0404643278493626,0.23931469202034086
5,342,0.7762176840614001,1.5333696924078513,-3.0673172143394973,1.3059240644268602,-4.3011406596746,0.7865978922868245,-5.09586375584375,0.7108683507172487,-5.866451119119853,0.7233198502300191,-6.608304851461358,0.7320485129170543,-8.43393459223498,0.6267515885283316,0.6994026783402792,0.44655454832508307,1.0413687679837862,0.4432121110218003,0.3942637195045282,0.478445122531987
6,342,0.8619333115474939,0.86150002838142,-4.202037066788882,0.7337132226743356,-4.906862164891136,0.44193785092083293,-5.1018484504475525,0.39939038012202416,-5.412530190059812,0.4063860624005739,-6.112428761844511,0.41129012643017165,-7.354029465251139,0.3521306792345552,0.7257472820260042,0.2508897612628602,0.8448026476157617,0.24901186459782343,1.1813771110651758,0.2688069867828231
7,342,0.7012580226677598,2.8775748987653778,-2.183486247177411,2.4507425222337407,-1.7252906374525123,1.4761569642816874,-2.269978285019791,1.3340402725310996,-3.2522793968857173,1.3574071896074853,-4.931842911133244,1.3737877016081892,-6.455170258238673,1.1761838308401529,0.6222286134979387,0.8380197975427197,2.3978027861626505,0.8317472634420097,1.2499702276413636,0.8978667583241728
8,342,0.9049840635403951,0.6677923194122003,-2.3695387689029754,0.5687382920620945,-2.3854415447497423,0.34256841878106564,-2.5366723418697656,0.30958771852126266,-2.861358060003626,0.3150104262876694,-3.6527993174033044,0.31881181477865284,-4.482632828099378,0.27295432997725555,0.5731718628461905,0.19447736514330222,0.5690205009885007,0.1930217122956552,0.4685620754324644,0.20836591440996582
9,342,0.9292052185307926,0.6687013078628291,-3.0267254050251218,0.5695124497214247,-3.3838814791687866,0.3430347175496652,-3.437406388219192,0.3100091244769946,-3.7643869191101182,0.31543921354831833,-4.693122135491384,0.3192457764298034,-5.699729024343732,0.2733258711380117,1.057155870720586,0.19474208468811458,0.6228987682091477,0.19328445042860018,0.7101546527395464,0.2086495388306092
10,342,0.9006186363182019,0.7677058207906486,-3.6343849211080386,0.6538315650394481,-4.769030038731558,0.3938226922836751,-5.09468721792256,0.35590749795276555,-5.572904982839864,0.36214153838075597,-6.457430266195915,0.36651168159262054,-7.373367949446506,0.3137931087886695,0.9909863199816975,0.2235746067938586,0.6851598068191789,0.22190116262311294,0.14934315172436874,0.23954112782803352
