,max_abs_diff,mean_abs_diff
d0_375,4.903568415759452e-07,2.079771012445756e-07
d375_750,4.926259991044901e-07,2.774757909119864e-07
d750_1500,4.686218448846091e-07,2.916910104073306e-07
d1500_3000,3.968857171798845e-07,1.694406661398615e-07
d3000_6000,4.977484957535694e-07,2.2251843792256113e-07
d6000_,4.892630318664715e-07,2.798330896632469e-07
contig,3.982915679490162e-07,7.125463149145379e-08
FTA,4.857590356621699e-07,1.1477931005951822e-07
CU,3.507128414348415e-07,9.490985454342473e-08
