spec,var,coef,se,t,p,nobs,r2
T1_col1_cases_deaths,stdSTCasesT,-0.07800236558253368,0.03938297506444261,-1.980611303612739,0.047931406610732585,1000,0.1149498874633077
T1_col1_cases_deaths,stdSTDeathsT,0.06994755985317211,0.04474695858757613,1.5631802039969898,0.1183529904481544,1000,0.1149498874633077
T1_col2_excess,stdSTExLowEstT,-0.05540458826562032,0.028081739490112778,-1.9729756514950783,0.04879604475904786,1000,0.11513019967452442
fn4_7day_lag_cases_deaths,stdSTCasesT7daysEar,-0.09930225221292228,0.07056519409237973,-1.4072412538527383,0.15969251050701305,1000,0.11441431888633058
fn4_7day_lag_cases_deaths,stdSTDeathsT7daysEar,0.1046321993393261,0.06488650305578093,1.6125418139636376,0.10718592872421007,1000,0.11441431888633058
fn4_7day_lag_excess,stdSTExLowEstT7daysEar,-0.029321182137842204,0.02855545092354445,-1.0268155882513625,0.3047760316425667,1000,0.11358979563418725
fn4_14day_lag_cases_deaths,stdSTCasesT14daysEar,-0.021456579603277667,0.10997570638328615,-0.19510290325844717,0.8453553276473966,1000,0.11351110566074696
fn4_14day_lag_cases_deaths,stdSTDeathsT14daysEar,0.05925046101640559,0.1185574524348067,0.499761590685214,0.6173620721421103,1000,0.11351110566074696
fn4_14day_lag_excess,stdSTExLowEstT14daysEar,0.012476545026101247,0.022619754161422482,0.5515773927985359,0.5813712903806416,1000,0.11318814186523729
