variable,label,all_mean,all_n,male_mean,male_n,female_mean,female_n,diff,tstat,pval
profit,Profit last month (GHS),2869.3836298932383,1405,3036.129904097646,1147,2147.3824701195217,251,888.7474339781243,2.639723456292636,0.008546116591153617
years_operation,Years in operation,7.094149293880296,1487,7.282264779350541,1201,6.359712230215828,278,0.9225525491347133,2.9769470846368886,0.0030685954988166676
workers_total,Total workers (excl. owner),3.283792871553463,1487,3.4862614487926726,1201,2.4532374100719423,278,1.0330240387207303,3.6019723914389887,0.00034275043553238344
business_at_home,Business located at home,0.1419667590027701,1444,0.12446717817561807,1173,0.20532319391634982,263,-0.08085601574073174,-3.0222555708626286,0.0026969328839323145
hours_business,Hours worked at business last week,22.464385474860336,1432,22.22403433476395,1165,23.08880308880309,259,-0.8647687540391402,-0.6609879843495413,0.5090477411607434
hours_salary,Hours worked at wage employment last week,17.32385575589459,1442,18.2858361774744,1172,13.545801526717558,262,4.740034650756844,3.594056433756917,0.00036699872796555865
hours_childcare,Hours spent caregiving last week,10.603960396039604,1414,8.796875,1152,18.440944881889763,254,-9.644069881889763,-7.49129558441052,7.235406909077087e-13
product_aginput,Agricultural inputs,0.045706371191135735,1444,0.05029838022165388,1173,0.026615969581749048,263,0.02368241063990483,2.004093876885968,0.04559526275836358
product_livestock,Livestock,0.30055401662049863,1444,0.31628303495311166,1173,0.23193916349809887,263,0.08434387145501279,2.8686921332492137,0.004331321528215516
product_crop,Crops,0.6862880886426593,1444,0.690537084398977,1173,0.6653992395437263,263,0.025137844855250724,0.7824626007292204,0.4344268129956574
product_cocoa,Cocoa,0.10110803324099724,1444,0.1082693947144075,1173,0.07224334600760456,263,0.03602604870680294,1.9589913057598751,0.05073432388084816
product_forestry,Forestry,0.015235457063711912,1444,0.017902813299232736,1173,0.0038022813688212928,263,0.014100531930411444,2.597910731376878,0.009536614913609609
product_fish,Fishing,0.04155124653739612,1444,0.045183290707587385,1173,0.022813688212927757,263,0.022369602494659628,2.026087351440193,0.043269679535625855
product_processed,Agro-Processing,0.06371191135734072,1444,0.0443307757885763,1173,0.1520912547528517,263,-0.1077604789642754,-4.6880752348525006,4.1831204684473155e-06
product_other,Other,0.04986149584487535,1444,0.04092071611253197,1173,0.08365019011406843,263,-0.04272947400153646,-2.3663685149805076,0.018550610696764874
married,Married or in partnership,0.5789473684210527,1444,0.5822676896845694,1173,0.5703422053231939,263,0.011925484361375527,0.3527618818449701,0.7244590550659307
age,Age,35.32347007397445,1487,35.38051623646961,1201,35.02158273381295,278,0.3589335026566616,0.7267922357452287,0.4677736151979851
collegedegree,College degree,0.6814712005551701,1441,0.7122117847993168,1171,0.5572519083969466,262,0.1549598764023702,4.629318790547612,5.112018697552955e-06
children,Number of children,1.6128808864265929,1444,1.536231884057971,1173,1.9239543726235742,263,-0.3877224885656032,-3.111735753494542,0.0020056720046684596
business_primary_inc,Primary income from business,0.649584487534626,1444,0.6342710997442456,1173,0.714828897338403,263,-0.08055779759415749,-2.5786245141180597,0.010270350781414228
work_for_pay,Work for pay,0.5422437673130194,1444,0.5737425404944586,1173,0.41825095057034223,263,0.15549158992411638,4.610601328995603,5.456243488193998e-06
