margin,diff_from_baseline,epsilon,beta_p,theta,tau,ci_lo,ci_hi
RR,,0.43134952869928567,0.12049189861287535,0.21444812553953935,0.26287117827188866,-0.21666060682635802,0.6455568579054367
RR,Normal Distribution,0.43134952869928567,0.08172726886802612,0.06927267589321426,0.49526611216310257,-0.7429637480542739,0.8815090998407025
RR,Symmetric p(t),0.43134952869928567,0.18717534711332173,0.33264231776751013,0.23210091605627517,-0.04800318456478114,0.7132878200998014
RR,Extra p(t) cutoff,0.43134952869928567,0.12660539738434354,0.190681617346674,0.2789570698457531,-0.26680797720036104,0.6481712118937091
RR,Drop Hunt (1995),0.5228785688139025,0.1118433419488307,0.2103829006186233,0.25539439005473136,-0.2084638990711361,0.6292297003083827
PBD,,0.46239272364122447,0.0762733752861414,0.09498243426181496,0.24925552004492288,-0.31379661861185854,0.5037614871354885
PBD,Normal Distribution,0.46239272364122447,0.06344140586736621,0.029073004531940918,0.4733324419499929,-0.7471922002660474,0.8053382093299293
PBD,Symmetric p(t),0.46239272364122447,0.2516201137183186,0.27060425339326627,0.2215324105684914,-0.09270889993905962,0.6339174067255922
PBD,Extra p(t) cutoff,0.46239272364122447,0.1424455223985452,-0.08037289386207222,0.30056357152713886,-0.57329715116658,0.4125513634424355
