margin,n,mean_epsilon,beta_p,theta,tau,df,nll
RR,42,0.43134952869928567,0.12049189861287535,0.21444812553953935,0.26287117827188866,3.799008164751906,26.99846351454426
PBD,49,0.46239272364122447,0.0762733752861414,0.09498243426181496,0.24925552004492288,2.9173327834675677,9.322108057188544
