key,country,num_nodes,num_edges,ave_deg,density,ave_clust,ave_dist,diameter,links_supported,info_total,info_total_friend_only,info_expostIC,info_SP,comp_total,comp_supp,comp_trans,comp_by_three
1,India,175,868,9.92,0.057011494252873565,0.20989751633339973,2.573399014778325,5,0.804147465437788,0.45694581280788177,0.4457799671592775,0.31566502463054186,,0.4457799671592775,0.0458456486042693,0.2698193760262726,0.001444991789819376
2,India,178,674,7.573033707865169,0.04278550117437949,0.207421571213275,2.95404050022218,6,0.7403560830860534,0.2979115089189361,0.2868025138068939,0.17469688313337142,,0.2868025138068939,0.03167650606233733,0.1430203770710341,0.0006982796927569352
3,India,272,1294,9.514705882352942,0.035109615802040375,0.1627227533096247,2.8130833514217497,6,0.7372488408037094,0.3243705231169959,0.3151454308660734,0.19516496635554592,,0.3151454308660734,0.025884523551117863,0.16928044280442806,0.0008953766008248318
4,India,222,933,8.405405405405405,0.038033508621743914,0.17821695993690878,2.8726101667278137,6,0.6902465166130761,0.30084383025559497,0.2890628184745832,0.15441686029921323,,0.2890628184745832,0.026252496840732133,0.12816436345848112,0.0009375891728832905
5,India,133,543,8.165413533834586,0.06185919343814081,0.2187116709806949,2.6926406926406927,5,0.7808471454880295,0.3954203691045796,0.3818637502848029,0.2502848029163819,,0.3818637502848029,0.04830257461836409,0.20198222829801776,0.0019366598313966736
6,India,107,365,6.822429906542056,0.06436254628813261,0.24008082554290705,2.750837594780462,6,0.7808219178082192,0.39816610827014637,0.38405924880973374,0.23840592488097337,,0.38405924880973374,0.05025568682771998,0.1881502380532534,0.0014106859460412625
7,India,142,710,10.0,0.07092198581560284,0.3120006536872336,2.4828688442713016,5,0.8661971830985915,0.5094396164219359,0.49995005493956646,0.38677454799720307,,0.49995005493956646,0.06143242433323344,0.32534212366396964,0.0006992308460693238
8,India,92,392,8.521739130434783,0.09364548494983277,0.3531178777325634,2.467032967032967,5,0.8775510204081632,0.5293836598184424,0.5179168657429527,0.4010989010989011,,0.5179168657429527,0.08217869087434305,0.3189202102245581,0.00047778308647873863
9,India,201,1038,10.328358208955224,0.05164179104477612,0.29649024136516416,2.649402985074627,5,0.8631984585741811,0.4108457711442786,0.40378109452736316,0.3207960199004975,,0.40378109452736316,0.0445771144278607,0.27621890547263683,0.000845771144278607
10,India,75,334,8.906666666666666,0.12036036036036037,0.3808938049222879,2.2954954954954956,5,0.9431137724550899,0.6306306306306306,0.6237837837837837,0.5661261261261261,,0.6237837837837837,0.11351351351351352,0.4526126126126126,0.00036036036036036037
11,India,130,569,8.753846153846155,0.0678592725104353,0.28782412748107994,2.5465712581991653,5,0.820738137082601,0.4691711389385808,0.45700655933214074,0.33536076326774,,0.45700655933214074,0.05569469290399523,0.2796660703637448,0.0014311270125223613
12,India,166,703,8.46987951807229,0.05133260313983205,0.21378867332125662,2.67776560788609,5,0.8036984352773826,0.3873676524278934,0.37729098211025924,0.2629426798101497,,0.37729098211025924,0.04125593282219788,0.2216867469879518,0.0002190580503833516
14,India,140,541,7.728571428571429,0.05560123329907503,0.27633500886607004,2.72415210688592,5,0.8317929759704251,0.3803699897225077,0.3710174717368962,0.263617677286742,,0.3710174717368962,0.046248715313463515,0.2173689619732785,0.0010277492291880781
15,India,170,888,10.447058823529412,0.06181691611555865,0.19975117306262033,2.4930038287504352,5,0.8085585585585585,0.5026801253045597,0.49084580577793246,0.369926905673512,,0.49084580577793246,0.04998259658893143,0.3199443090845806,0.0013922728854855553
