country,netexports,gdp,pop,gascon,diecon,gasprice,dieprice,spotgasprice,spotdieprice,gas,die,Agas,Adie,predictgas,predictdie,COSTgas,COSTdie,AREAgas,AREAdie,DWLgas,DWLdie,DWLtot,DWLgasPC,DWLdiePC,DWLtotPC,EXPgas,EXPdie,EXPtot
Afghanistan,-36.25321,456.9615678,34385068.0,,,4.845328043850219,4.58034916645216,3.574082506851597,3.7660825068515966,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
Albania,-13.75079,3700.7384109999994,3204284.0,11.698725658826252,52.267526856,6.85159668700695,6.77588843632179,3.574082506851597,3.7660825068515966,37.48603944896642,167.4800000242511,118.944573198495,527.8891069353067,55.39185227586021,238.2367754340545,-122.8610258518504,-504.08229714065914,-147.16043364072598,-594.0161075714288,0.0,0.0,0.0,0.0,0.0,0.0,133.97819784569975,630.7434983388371,764.7216961845368
Algeria,1545.1315,4566.891032,35468208.0,22.47237457826403,53.44856957937202,1.097769634934815,0.6435201308238572,2.817,3.009,797.0548557957809,1895.7249831436393,842.9366562955955,1455.166258004241,452.81711351055617,751.3794329746743,1370.320910706759,4484.299285120561,1001.5079767232021,2602.4088116553635,0.36881293398355686,1.8818904734651973,2.2507034074487544,10.398409019806044,53.05851576897252,63.456924788778565,2245.3035287767148,5704.236474279211,7949.540003055925
American Samoa,-2.00315,,68420.0,,,,,3.574082506851597,3.7660825068515966,,,,,,,,,,,,,,,,,,,
Angola,1890.11576,4237.347642,19081912.0,19.794635843645676,14.678089220753586,2.3848098965825293,1.5898732643883529,2.817,3.009,377.7194992404925,280.0860068385685,636.2703187935904,369.9209397140549,341.79803074968066,191.00977939731416,163.24662943954377,397.47754057531915,155.13963175231714,323.617930511462,0.008106997687226624,0.07385961006385713,0.08196660775108376,0.4248524826666544,3.8706608679390797,4.295513350605734,1064.0358293604675,842.7787945772526,1906.8146239377202
Antigua and Barbuda,-4.55068,13006.30092,88710.0,,,3.747558408915403,3.633996032887664,3.574082506851597,3.7660825068515966,,,,,,,,,,,0.0,,,0.0,,,,,
Argentina,108.86387999999998,9124.335133,40412376.0,35.9715524406525,51.90081336250512,5.526702300016655,5.034598670563118,2.817,3.009,1453.6959025353665,2097.435184311381,4054.648484701966,5531.812649353806,2178.116480556581,2856.367943477617,-3939.0831306248697,-4248.561920933442,-4745.975905847769,-4912.333121505593,0.0,0.0,0.0,0.0,0.0,0.0,4095.0613574421277,6311.182469592945,10406.243827035072
Armenia,-46.52126,3030.7106269999995,3092072.0,19.41778806636798,,4.731765667822479,4.3532244143966805,3.574082506851597,3.7660825068515966,60.04119878195057,,152.56794341824425,,71.05007615397552,,-69.50868479436963,,-75.40512189735212,,0.0,0.0,0.0,0.0,0.0,0.0,214.59219825696894,,
Aruba,-1.2637500000000026,,107488.0,,,,,3.574082506851597,3.7660825068515966,,,,,,,,,,,,,,,,,,,
Australia,-395.08164,51628.59957,22065300.0,188.01289472022,125.95066066480544,5.261723422618596,5.943097678785034,3.574082506851597,3.7660825068515966,4148.560925870071,2779.1391127671313,11235.031183913254,8096.88567672912,5232.093999071831,3654.1309705762224,-7001.281160050556,-6050.228013407678,-7821.61139381248,-6887.341210188197,0.0,0.0,0.0,0.0,0.0,0.0,14827.299033760284,10466.46719669936,25293.766230459645
Austria,-248.73896,44916.36084,8389771.0,61.341226928444605,178.7418684718976,6.85159668700695,6.85159668700695,3.574082506851597,3.7660825068515966,514.6388467886836,1499.6033445913408,1632.9678697047154,4758.296219377497,760.4644127728413,2147.4228828962578,-1686.7361180087087,-4627.047384344976,-2020.3381572195938,-5468.2638838453795,0.0,0.0,0.0,0.0,0.0,0.0,1839.3616996537132,5647.629923281595,7486.991622935308
Azerbaijan,960.4779,5843.169752999999,9054332.0,36.10326761399848,16.445483431070308,2.876913526036067,2.15768514452705,2.817,3.009,326.8909712619901,148.90286688540968,616.252948764431,236.20870703805173,331.04490042965097,121.96706966071982,-19.585190717660485,126.76322260206041,-19.70893063089967,114.28352188242158,0.0,0.012479700719638828,0.012479700719638828,0.0,1.3783126927131486,1.3783126927131486,920.8518660450262,448.04872645819773,1368.9005925032238
"Bahamas, The",-22.833039999999997,22664.85649,342877.0,,,,,3.574082506851597,3.7660825068515966,,,,,,,,,,,,,,,,,,,
Bahrain,-1.591120000000018,18184.19751,1261835.0,171.44786966993172,106.45366663748804,1.0220613842496555,0.6435201308238572,3.574082506851597,3.7660825068515966,216.3389226249583,134.32696244151472,219.19005749192488,103.10992629371523,102.0756387487179,46.53359206078135,552.1015001798406,419.44431900596516,359.2877402558793,222.01810649385519,0.1928137599239613,0.19742621251210998,0.3902399724360713,152.80425723169932,156.45961041824802,309.2638676499473,773.2131589049845,505.88642344950006,1279.0995823544845
Bangladesh,-104.82523,674.9316307,148692131.0,0.8332286068995448,3.0523044428730373,4.3532244143966805,2.876913526036067,3.574082506851597,3.7660825068515966,123.89453717005462,453.8536520715597,299.4599800674419,855.6022526925208,139.45691284919982,386.1339797651091,-96.53142602509162,403.5525892518746,-102.27552836301498,371.2867900220707,0.0,0.03226579922980392,0.03226579922980392,0.0,0.21699735562875158,0.21699735562875158,442.80929799396716,1709.2502997374118,2152.0595977313787
Barbados,-7.971439999999999,15034.88444,273331.0,,,4.731765667822479,4.3153702890541,3.574082506851597,3.7660825068515966,,,,,,,,,,,0.0,0.0,0.0,0.0,0.0,0.0,,,
Belarus,-113.82872999999998,5817.897746,9490000.0,15.33157656462595,49.39044872609556,3.3311630301470254,3.406871280832185,3.574082506851597,3.7660825068515966,145.49666159830025,468.7153584106469,299.5094719098156,977.9634398783953,139.47996093578254,441.35568123700165,35.343972897721216,168.3678185488165,34.59947077713581,163.32254238011032,0.000744502120585409,0.0050452761687061806,0.00578977828929159,0.07845122450847303,0.5316413244158251,0.6100925489242981,520.0170730237915,1765.2207120030137,2285.237785026805
Belgium,-579.9649000000001,43006.91365,10895586.0,35.30864900127465,176.2460467012082,7.911512196599184,7.495116817830807,3.574082506851597,3.7660825068515966,384.7084217372021,1920.3039589930304,1330.7221775676824,6430.385668539592,619.71020869553,2902.0381863230446,-1668.6457303388765,-7160.879350594225,-2071.824886230628,-8658.968126672973,0.0,0.0,0.0,0.0,0.0,0.0,1374.9796403694206,7232.023147801518,8607.002788170937
