sample,N,FB_HH_τ5,FB_FF_τ5,G_UIP_τ5,long_UIP_τ5,ls_UIP_lvl_τ5,ls_UIP_slp_τ5
baseline 1986Q2-2021Q1,140,0.6025577510109215,0.8582173872708394,1.6225708565643382,0.44109888638143624,1.3635702296513736,1.083765382789494
R1 drop post-2008 (pre-2008 only),87,0.4866904087685212,0.7754903717805891,1.945798146323674,0.38041736594375586,2.3332156836479676,1.9021239910869288
R2 drop euro crisis 2010-2012,128,0.46162182746442804,0.8186445976583343,1.6836231907543437,0.5375887244162895,1.5485075216971769,1.1762181846663726
R3 drop COVID 2020+,135,0.5904675088259778,0.851658978577476,1.6301381454352406,0.426601786608711,1.5167331962494583,1.1842945684087658
R4 euro era only 1999+,89,0.5130890273118255,1.1107083915000824,2.5185540475719375,0.24109920517562425,-0.18375502942229066,-0.8856619494650945
