tau,G_UIP,hac
1,,
2,1.5901850979974377,0.7885324115987503
3,1.6288647827050977,0.7833917144407873
4,1.6378714873432672,0.7790409339489173
5,1.6225708565643382,0.7781655024460267
6,1.5847204263157193,0.7804285237556515
7,1.534437504835846,0.7890625702579643
8,1.4790817365692739,0.8004773673511401
9,1.4180994264199631,0.8178274475239671
10,1.3574631688061043,0.8351539018336904
11,1.3024327707278642,0.858739921449114
12,1.2448942168769381,0.8789566390266592
13,1.1950787951196968,0.9006210990376452
14,1.1544095458472172,0.9278870515058331
15,1.1124958108119998,0.9525612973494398
16,1.0820534594879323,0.9806080782899116
17,1.063776539006044,1.0020045084935616
18,1.0376170422155124,1.0264424893112594
19,1.0258947408251822,1.051380821873858
20,1.0229593496947627,1.0835347418663674
