tau,UIP_level,UIP_slope,hac_level,hac_slope
1,0.634304973671409,1.7861118637008162,1.1988730309618234,2.06434753601764
2,1.059793567703124,2.0911952024073712,0.9123621081426283,1.418174908132435
3,1.457410337096901,2.284497617519113,0.8035094105201865,0.8671525488495089
4,1.468833833031519,1.6765379752030782,0.7524132908098355,0.7507229001722405
5,1.3635702296513736,1.083765382789494,0.85003947202181,0.7398224593020668
6,1.7198510216742937,0.7857597522329363,0.7950454588661956,0.543436107298782
7,1.9435702689575391,0.32219002910238803,0.4758687058596497,0.254546001138295
8,1.7289802274446862,-0.1544804940245439,0.35830712413369376,0.18316395288803827
9,1.1381213701721054,-0.37974043601479157,0.3812923019885819,0.1822207331435822
10,0.7217005109848837,-0.3050239115405482,0.3422068873634216,0.1329168072545042
11,0.3697677039893117,-0.20835801420850364,0.229887324188662,0.084462256017975
12,-0.06158820104554874,-0.1478135728841011,0.2580319417840328,0.1034112689759383
13,-0.5297224062305126,-0.10727552263434773,0.2683754648520781,0.0571963108678494
14,-0.48232980463732567,-0.017482099983441725,0.27915518155062996,0.0938045889741211
15,-0.13879789535832437,0.07509897427270754,0.231241711249081,0.064675564575954
16,0.11475924634389958,0.1149987349043108,0.1023509507001524,0.03816931716064075
17,0.2975235322200425,0.1103640864644181,0.08611709958574644,0.039318268924042964
18,0.33211536375270867,0.10193742309136539,0.07453202442540428,0.06934610928907861
19,0.5687260715904161,0.10674971400291197,0.11829684729054794,0.07619323275787993
20,0.8119211853135706,0.07345438190866688,0.10462964346136013,0.0653235915247893
