maturity,reg,beta,SE_NW_Andrews,SE_NW_L4,SE_HC1,L
60,HH,0.6025577510109215,0.313242636318823,0.4431634543308297,0.28215574184403447,11
60,FF,0.8582173872708394,0.4297380704782698,0.5717266256128334,0.33530024064774333,15
120,HH,1.0189265659440674,0.4464996358495157,0.5563957360002989,0.39080563627765713,10
120,FF,1.6547201949314105,0.7277513747615847,0.8177921869093828,0.4666902525583765,14
