tau,CS_HH,hac_HH,CS_HF,hac_HF,CS_FH,hac_FH,CS_FF,hac_FF
1,,,,,,,,
2,0.6790520723766997,0.5732028663242703,0.13571056422175135,0.8851688296065157,-1.1799620834562017,0.44310357828960856,-0.2127839948577347,0.6067768365773373
3,0.35415043988395173,0.5841487173291704,0.3453876744952825,0.8968563901098293,-1.6502011901687847,0.4807811266609818,-0.4737044886095061,0.691567322976211
4,0.07625077638784766,0.5994409790721427,0.4882263008058793,0.8733468228160031,-1.9016938296336585,0.5434510779310112,-0.6337164378997007,0.7366420263002529
5,-0.15692088427022566,0.5969809935476603,0.526847543211511,0.8528309905857502,-2.058409733773576,0.6139949524894875,-0.7871232582457206,0.7500106449181805
6,-0.35600514080318596,0.6214371503545391,0.5059547862365326,0.8241056609009729,-2.159685577501804,0.6686829923929755,-0.9494258538921362,0.7767568048403054
7,-0.5270007611104147,0.6276144973483537,0.44548189251207004,0.8397290513681437,-2.240478748281808,0.7288746590503492,-1.1271467722951234,0.8093519959527082
8,-0.6734440652405234,0.6635859252114839,0.3626653441637972,0.8357369579378006,-2.3016262384650954,0.7850516277801345,-1.3063699786923095,0.8939236507067231
9,-0.7978749166199309,0.6744486605016096,0.2632207482647471,0.8401863055098413,-2.360512032094192,0.8407923738161848,-1.5067285614185644,0.9395347748770558
10,-0.9024294524418729,0.6879072784843022,0.15825514207871358,0.8520665239139598,-2.406072230244005,0.8924275352758828,-1.6964971324990956,0.9902035028148564
11,-0.9890227697405836,0.7033599880337074,0.0554355379171861,0.8685378367763451,-2.4582320920760505,0.9425841764939954,-1.8929731136037962,1.038750681677876
12,-1.059384384442549,0.7204357264762492,-0.046335227476796234,0.8891641820444358,-2.498216513775236,0.990641454842892,-2.0785030212868745,1.0895041952296638
13,-1.115063956510071,0.7389183978507643,-0.13515875814213396,0.9135203064717555,-2.5368728896466086,1.0374119665973747,-2.2512022956281026,1.1842188271041596
14,-1.1574426169316054,0.7586865565986668,-0.21310361531106636,0.9786312673511045,-2.581449418321926,1.0807564174937754,-2.420278759577819,1.2334311305765606
15,-1.1877635422316315,0.8145240196336614,-0.2822773822433978,1.0056900956775043,-2.6214226152931905,1.12560913828871,-2.5962224856610336,1.2853087011081015
16,-1.2071741593797656,0.8373566430437708,-0.33932230119566176,1.033711592258257,-2.6616072879799297,1.150233085522093,-2.7443165439064527,1.3372080729345321
17,-1.2167735372173274,0.8613173925687954,-0.39069896353143657,1.0614541865544436,-2.6995621035749293,1.1926126988519918,-2.889525576455987,1.3945802099045816
18,-1.217658340573376,0.8863654213731879,-0.428181767930179,1.0877906378984308,-2.733054847030051,1.2373274854095357,-3.0440484113756074,1.4844062775793438
19,-1.2109668010145578,0.9124639312182505,-0.45724372203140673,1.1127519738887557,-2.7737864839164423,1.2796361445564608,-3.1923989833375273,1.5374245591498719
20,-1.1979095996184101,0.9395715884558885,-0.4769182244088169,1.1372090549469236,-2.8040935128557978,1.325507676651823,-3.325463095678926,1.5902282850527427
