tau,FB_HH,hac_HH,FB_HF,hac_HF,FB_FH,hac_FH,FB_FF,hac_FF
1,,,,,,,,
2,0.1604739909444842,0.28660142735468086,0.040156687340013056,0.36922222546388345,0.6688839607083562,0.17172888579989823,0.6063920476874878,0.30338840962517494
3,0.3290493545717851,0.28227069869853105,-0.26639824587543587,0.41519722545598287,0.9522131238394216,0.2546813669922666,0.6819282141941622,0.3607595519210612
4,0.4759575567599308,0.29042231116314415,-0.44596442016605603,0.4208622296046676,1.1051942958907555,0.3425584719298417,0.743572108833165,0.3974391793508877
5,0.6025577510109215,0.313242636318823,-0.4959980157272682,0.44790327182755196,1.2247374605139503,0.41449567359336914,0.8582173872708394,0.4297380704782698
6,0.7113280026378276,0.32934990825651517,-0.5014510523943401,0.47156244380115053,1.3271644629012216,0.47706587423921615,0.9916561121908336,0.5034255618496195
7,0.8049078636233172,0.368239424990274,-0.4581139996914661,0.5200737502113231,1.4260158585008904,0.5249395402143856,1.138667165370373,0.5542176463241201
8,0.8858850395530009,0.3922064686679415,-0.4005482462988671,0.554707045450803,1.5149983307541899,0.5772362220584805,1.308691380537725,0.6111176221586961
9,0.9565807675536603,0.4185827177714507,-0.30388085763042694,0.5859846946343911,1.604314089438779,0.6301665282328612,1.4849572888893192,0.6656525253601698
10,1.0189265659440674,0.4464996358495157,-0.21721989834320415,0.6272512233833081,1.6850645243421507,0.6818413063205591,1.6547201949314105,0.7277513747615847
11,1.0744040891159905,0.47548524768775846,-0.13092071129023142,0.6610042600781137,1.7728112106421976,0.7344072611185432,1.8251171026807638,0.8005057394368608
12,1.1240196233075948,0.5053292496792281,-0.029878461652344174,0.6965424331892065,1.8490128625814284,0.7878397526562128,1.9957193731544738,0.8624473321529836
13,1.1683495487398008,0.535995812191087,0.01336183384226712,0.7405845539904321,1.923411773483516,0.8420573146031118,2.153311760882504,0.9339565653668208
14,1.2075975618168484,0.5975309079547475,0.06381712618461116,0.7714866751996652,1.9987846699492868,0.8962277795892096,2.308565098369657,0.9968650070020542
15,1.2417531537275677,0.6306137430494141,0.12752441210839568,0.8128901333799348,2.0653349828058296,0.9536081259752288,2.4573903244757447,1.0583429650130642
16,1.270701206717658,0.6644562450874404,0.15062059340930678,0.8808724647955078,2.1251016329128416,0.9966963961483749,2.590877947124676,1.1345977255227626
17,1.2944272981623492,0.6991394414972725,0.2300138643450182,0.9201507266788657,2.1739127937621254,1.055011010214269,2.7777169486197724,1.210118565116892
18,1.313170923414164,0.7346502224313477,0.20420618710187105,0.946882181815551,2.205894189963662,1.1161996681316917,2.898825732328623,1.2879173404199005
19,1.3275681435945028,0.7707886335960299,0.22485444526484108,0.97255817739629,2.2323364578450207,1.1762406475785732,3.007776218982908,1.346857778979561
20,1.3387373885475116,0.8071077129905454,0.21825224335766807,1.0071218490265448,2.2339254666370367,1.2391660751542302,3.2007316243560577,1.431090665383199
