tau,UIP_level,hac
1,-0.5306109825419336,0.7796450498506404
2,-0.40492198410210845,0.702000752667443
3,-0.2822534206916818,0.6102461141756419
4,0.12487027032224528,0.5117729257930684
5,0.44109888638143624,0.3751900763098362
6,1.0266677012595395,0.3444088474652686
7,1.6365974427829864,0.35744133770813974
8,1.8754348191962502,0.3593826468785247
9,1.475467372729393,0.35334710289418525
10,0.9703770528823292,0.33007634082910553
11,0.5210183657487046,0.2256580726730174
12,0.033627989366817476,0.26530634453304114
13,-0.47231747490857723,0.2503217191000259
14,-0.47485737654970017,0.2790849757654357
15,-0.16314302007327863,0.2517454078465868
16,0.0909023729338842,0.13393984966706982
17,0.28383219988675523,0.14464839978898844
18,0.3294747766955443,0.12243964065694975
19,0.577282083191498,0.1601133204457936
20,0.8249143008807218,0.14694161447661408
