case,N,G_UIP_τ5,long_UIP_τ5
R7 baseline,140,1.6225708565643382,0.44109888638143624
R7 winsorize D_log_E 1/99,140,1.6204619886484237,0.44109888638143624
R8 drop top 5 |ΔlogE|,131,1.600180007460312,0.6441018414981652
