var,b_no_fe,se_no_fe,b_state_fe,se_state_fe,N
Prev Pass,0.45676183380334634,0.08678514906673492,0.6060143192938546,0.08181052652032417,2293
Share Black,-0.46518766855942345,0.054976962080523564,-0.7522553219708282,0.06056216347278023,2296
Share Hispanic,-0.44169837714912163,0.09427946293526594,-0.3281067165481813,0.08915618972727912,2296
Share FRPL,-0.16070969875626495,0.06858768052490394,-0.2562357999419713,0.06797493360823344,1937
Share ELL,-1.2907668189493426,0.17080945596893993,-0.8803079473729156,0.1475213915712582,1897
Case Rate,0.8027751373442273,0.2817587732727827,0.3666974334704064,0.15123166241501046,2294
Trump Vote,0.010494834214649699,0.0005874411944616761,0.009946209376361613,0.0006653578121958067,2296
