quintile,n_cells,beta_cohort,se,level_mean
1,290,-1.1131759806597712,0.442342708414816,13.057176
2,294,-2.4213457258172597,0.5521559798130302,18.842337
3,296,-2.6519860874484897,0.6194984733603146,25.953949
4,296,-2.1167840968522293,0.613647486129374,35.180176
5,295,-0.9075101788182833,0.6637956601244747,47.732563
