group,N,salaried_agri,salaried_nonagri,SE_agri,SE_nonagri
Other,40,6.46619608507774,62.1969187558942,18.907325704157543,12.226302913797573
Africa,28,5.4580989463416785,19.93960238099098,43.47781799328716,30.99128191989401
