group,gender,sal_agri,sal_nonagri,se_agri,se_nonagri
Other,0.0,8.851631283177666,60.048216376253805,18.019536178238315,12.888784207406815
Other,1.0,2.9994385177022154,65.12531785998007,20.33322677468407,11.327398937558968
Africa,0.0,7.722797526632834,23.023783592481866,43.412505988036706,25.53023926436657
Africa,1.0,2.1498698381355847,14.994223999190481,47.10475207104848,35.467063714604535
