,σ=1.5,σ=2,σ=4,σ=∞
Jensen (j),0.6982942819595337,0.28912797570228577,0.1606168895959854,0.11971312016248703
Caselli-Ciccone (cc),0.10422298312187195,0.11233758926391602,0.12575213611125946,0.14008300006389618
Mincerian (m),0.11223684996366501,0.12256771326065063,0.13977394998073578,0.15816302597522736
Variant 2 (v2),0.11223684996366501,0.11695652455091476,0.12721261382102966,0.13897675275802612
