name,N,beta_DD,se_DD,beta_D,se_D,r2,paper_beta,paper_se,paper_N,beta_diff
Col 1 — only FEs,29083,5.2430934498504715,2.0130421765001816,-1.2963089407212356,1.5113285593647225,0.10681435186890953,5.243,2.016,29083,9.344985047121668e-05
Col 2 — + alcohol_intake,29083,5.048904887880584,2.0053532403497845,-0.9300378534880329,1.4945181563492456,0.14433435605516687,5.049,2.009,29083,-9.511211941681808e-05
Col 3 — + income/price,29083,5.00799227935342,1.994738146325507,-0.9450951706056745,1.4873886954603674,0.1464495310360322,5.008,1.998,29083,-7.720646579834067e-06
Col 4 — all controls,29083,5.231743954947918,1.9820200361470073,-1.0377785478763792,1.4805644694649764,0.15240777266784844,5.232,1.986,29083,-0.000256045052082321
Col 5 — log alcohol (winsor),29083,7.594289518731135,4.57717843120913,-8.43074248548514,3.5256304748669947,0.07557710525475936,7.594,4.585,29083,0.000289518731134919
Col 7 — Share of beer,29083,-3.1290757861431926,1.727125256733008,-0.06899106864950569,1.3679291503366862,0.2580449875773181,-3.129,1.73,29083,-7.578614319259103e-05
Col 8 — Share of hard alcohol,29083,3.051350501539129,1.798939631222353,-0.8884629769880177,1.411256772474571,0.26866980481442626,3.027,1.78,29083,0.024350501539128988
