panel,xvar,n,b_x,b_legit,b_int,se_int,p_int,r2
A,z_fte,118,3.497430707090553,2.439778731011248,-0.13988313728470647,0.708522289352623,0.8438431053317476,0.46066617154403544
B,z_merito,121,0.37167384684775073,3.9778507654172364,2.0395525254254285,0.5817122497748903,0.0006456254983703142,0.34886117886581436
C,z_staff,119,0.8560340364930339,4.154096917280119,0.5048515845972705,0.67118555963004,0.4534803047253855,0.3243968810746809
D,z_electronic,107,1.7692581163556254,3.4520416070657616,0.4269883529344436,0.5940948599907706,0.47394026519023336,0.332059722321813
