,count,mean,std,min,5%,25%,50%,75%,95%,max
tax_ex_sc,121.0,18.416597366333008,7.336677551269531,4.409880638122559,7.957874298095703,12.932365417480469,18.00865364074707,23.32296371459961,29.642305374145508,46.639549255371094
tax_inc_sc,119.0,22.866273880004883,11.162252426147461,4.409880638122559,8.076546669006348,13.11071491241455,21.83984375,32.07722473144531,42.532806396484375,47.477359771728516
fte_per_laborforce,118.0,0.0009259472717531025,0.0008007545256987214,2.4634739020257257e-05,0.00011902331607416272,0.0002949086483567953,0.0006382552674040198,0.0013632078189402819,0.002713056979700923,0.0030315241310745478
vdem_meritocratic_recruitment,121.0,2.03092360496521,0.6519120335578918,0.625,0.9325000047683716,1.475250005722046,2.055999994277954,2.5880000591278076,2.996000051498413,3.3505001068115234
staff_index,120.0,0.0856618583202362,0.967835545539856,-0.8817766308784485,-0.7888960242271423,-0.352906197309494,-0.061641402542591095,0.39841580390930176,0.9729405045509338,8.901349067687988
electronic_payments_pct_number,107.0,66.37389408099688,33.871777050409044,0.0,0.0,45.45,75.75,99.155,100.0,100.0
vdem_executive,121.0,0.1558435708284378,0.9377303123474121,-1.8436119556427002,-1.5741691589355469,-0.41370725631713867,0.32461288571357727,1.0019140243530273,1.2528971433639526,1.3266470432281494
vdem_rigorous_impartial,121.0,2.3131279945373535,0.9595309495925903,0.21924999356269836,0.8307499885559082,1.4910000562667847,2.396250009536743,3.0764999389648438,3.7957499027252197,3.9649999141693115
gdp_pc,121.0,14314.501953125,19095.90234375,267.9987487792969,596.8304443359375,1574.561279296875,5867.1572265625,17310.017578125,57156.4375,86759.3984375
population,121.0,56033134.391184576,181937573.77154785,1159210.5,2072633.5,5620404.5,11786987.5,37727477.0,163037423.0,1408448590.5
staff_pct_master,114.0,28.027686032081885,72.5034875414136,0.0,1.4052468806333651,7.06980576458256,15.483945722789697,29.309022784849425,73.18217989414987,764.2098135059988
staff_pct_20_more,117.0,30.467517409205954,22.33063718810463,0.0,0.0,15.363288248750877,27.37146576081966,43.64962564303424,66.52238901643616,144.06989953652888
