outcome,beta,se,p,N,R2,ymean,ysd
unemp_nextrecession,0.4892769465187716,0.13425932952764336,0.0002681541395651124,1008,0.06283972326501841,32.98015873015873,25.944743115079227
z_manip_1,0.012312715740742879,0.005004421149750696,0.013879476601886133,1008,0.06688537077811318,7.450580596923828e-09,1.0000000173875168
z_manip_2,0.00685738509458724,0.00454472095240222,0.13133245815013916,1008,0.03969581749683104,-9.63105805336483e-09,1.0000000075794562
z_manip_3,0.013073451019080213,0.004400756186392625,0.0029709447689035186,1008,0.07521137270722611,-7.539277984982445e-09,0.9999999931000592
z_manip_ind,0.01592083555023857,0.004981526779968337,0.001393591377355858,1008,0.06574997884700173,2.08358017964259e-09,1.0000000026447418
