outcome,beta,se,p,N,R2
forecast_recession,0.005890354132633645,0.0022442677260755676,0.00867452455784124,1008,0.07435945437382518
forecast_govspending,-0.0020239892928407346,0.0016245846638510196,0.21281935866240043,1008,0.04220207133018883
forecast_iratebonds,-0.002946762779267823,0.0013407496218976822,0.027959997815705045,1008,0.08190670669707845
forecast_inflation,0.001041238122114761,0.0019111311715557329,0.5858716939221748,1008,0.03752770154027718
othermacro,-0.003929513949993796,0.0022370500085616275,0.07899273024355151,1008,0.07670577808688583
noforecast,-0.001960840182639797,0.0022744631650258224,0.3886263253234542,1008,0.056656240935028856
