outcome,beta,se,p,N,fs_F,ymean,ysd
forecast_recession,0.012038895710381838,0.005826123710834004,0.03905795843897142,1008,13.280687530566608,0.2470238,0.4314948
forecast_govspending,-0.0041366945801178945,0.0036233786665927133,0.2538727455306222,1008,13.280687530566608,0.16865079,0.37462905
forecast_iratebonds,-0.006022688786450889,0.003185584272943465,0.058973404535811236,1008,13.280687530566608,0.15079366,0.35802525
forecast_inflation,0.002128116048638301,0.0038137151966234476,0.5769613451276756,1008,13.280687530566608,0.25198412,0.4343677
othermacro,-0.008031267317929525,0.00558550098262788,0.15078995689158203,1008,13.280687530566608,0.5714286,0.4951173
noforecast,-0.004007628392449392,0.004557295542934705,0.37940814967766334,1008,13.280687530566608,0.18154761,0.38566262
