,0
n_raw_1980,219876.0
n_raw_2000,175530.0
n_analysis_1980,122355.0
n_analysis_2000,109314.0
occs_1980,303.0
occs_2000,377.0
mean_logw_1980,2.719849109649658
mean_logw_2000,2.823823928833008
