group,n,mean,sd
World,695759,0.10363929666252383,14.722159037064518
USA,17358,-0.1765737949549322,6.642790391442066
Europe,473570,0.015646227332517634,16.621025650888754
JPN,17952,0.15549251106100978,3.9243412444040398
CHN,16342,1.032072965631982,9.489355865989054
