check,tag,n,mean,sd,p05,p95
"1. Baseline (sigma=4, theta=4)",world,695759,0.10363929666252383,14.722159037064518,-14.021527355145473,14.586839704738386
2. Baseline - USA only,usa,17358,-0.1765737949549322,6.642790391442066,-9.352209155644262,8.592537226066282
3. Baseline - CHN only,chn,16342,1.032072965631982,9.489355865989054,-10.513252342817932,13.937029954861323
4. Alt elasticity sigma=2,world,695759,0.1111130860220337,23.820480113672048,-29.018428512746286,29.11131183146025
5. Alt trade elasticity theta=8,world,695759,0.05368809567113938,9.319618135003992,-10.603853486878116,10.75184861359189
6. Normalize to 1996 (not 1995),world,696277,0.10297559470589061,14.728893861512644,-14.036142943161602,14.59898777139248
7. Drop sec 1 (Agri) & 35 (PrivHH),world,653965,0.0959677453760978,14.847672731326215,-14.165692717061878,14.690193239785971
8. BRIICS subsample,briics,83174,0.4943606176598297,9.381400336087797,-10.894685105139882,12.999455039735889
9. Trim 1%/99% growth rates,world,681843,0.1415465960612727,8.260763944260702,-12.337968583691115,12.888769522445921
