sec_imp,annual_pct
2,2.0470577926203712
3,0.3108305822400971
4,0.10995882341831548
5,-0.5145974201229222
6,0.14006088394621005
7,-0.22694312195470728
8,0.6662037224591237
9,-0.15834260762255012
10,0.586402186179031
11,0.102316815634608
12,0.4717329511868287
13,-0.03196551772037519
14,0.0651595399553139
15,0.11562935952253116
16,-0.05378535793080854
17,1.309937929313817
18,0.8332002141739497
19,-0.12294178122910183
20,0.2843859641748637
21,-0.1012802379047043
22,0.31122434812009175
23,0.5017819638807939
24,-2.4479363242623764
25,0.3419793970473327
26,0.4412297390393538
27,1.2838641849735353
28,0.42562431801062417
29,0.21206137248241672
30,0.8348845873623045
31,0.3121247743025819
32,1.1650465272163473
33,0.8422272653280437
34,0.498322036124801
