outcome,N,b_div,se_div,pub_b_div,pub_se_div,b_int,se_int,pub_b_int,pub_se_int,ymean,pub_ymean
l_nl_pc13_viirs,336,-0.036200061230528977,0.01570487666986495,-0.036,0.016,0.04219709582086065,0.019937591680046763,0.042,0.021,0.023306899496313826,0.023
l_mean_nl_pc10_13,336,-0.10672511827579255,0.0324658833921822,-0.107,0.033,0.11925597845947525,0.04037760986391305,0.119,0.042,0.05624598183684518,0.056
n_f_1013_p100,336,-11.991333673985025,6.824347132371529,-11.991,7.041,19.146786380461233,10.10415686856072,19.147,10.425,23.992016897358695,23.992
CN12_d_ua_venta,336,-0.41563117488891055,0.15833615660514283,-0.416,0.163,0.5933545423599107,0.22567755582948687,0.593,0.233,0.5,0.5
CN12_sh_ua_venta,336,-0.13137210766119056,0.06714727840024093,-0.131,0.069,0.15113839973262078,0.09701411757288535,0.151,0.1,0.369223068708203,0.369
