year,sigma2_>10k,alpha_>10k,sigma2_>25k,alpha_>25k,sigma2_>50k,alpha_>50k,sigma2_all,alpha_all
1989,0.4781,2.4015,0.1594,1.851,0.0039,1.4808,0.9802,657.5135
2016,0.5475,1.6673,0.2061,1.4636,0.0168,1.3317,0.8102,1.9406
