year,mu_paper,mu_repl,sigma2_paper,sigma2_repl,alpha_paper,alpha_repl,varlogy_paper,varlogy_repl
1989,10.744489,10.744527380542058,0.478096,0.4781151779623499,2.40127,2.4014741284250807,0.651523,0.6515132145107625
2016,10.554835,10.554842657608688,0.547499,0.5474941069877495,1.667315,1.6673197698742992,0.907219,0.9072121321556754
