,uni_ID,avg_tuit_pc0,avg_tuit_pc1,avg_tuit_pc2,avg_tuit_pc3,avg_fte0,avg_fte1,avg_fte2,avg_fte3,fs_ratio0,fs_ratio1,fs_ratio2,fs_ratio3,tot_tuit0,tot_tuit1,tot_tuit2,tot_tuit3,tot_research0,tot_research1,tot_research2,tot_research3,RD_LifeSci_Federal0,RD_LifeSci_Federal1,RD_LifeSci_Federal2,RD_LifeSci_Federal3,RD_LifeSci_All0,RD_LifeSci_All1,RD_LifeSci_All2,RD_LifeSci_All3,tot_fte0,tot_fte1,tot_fte2,tot_fte3,tot_stud_amenities0,tot_stud_amenities1,tot_stud_amenities2,tot_stud_amenities3,sector,flag_lib_art_col,yy,xx,placebo_xx,fte_wts,zz,init_life_sci_uni,init_uni_size,init_fac_stud_ratio
count,1567.0,1565.0,1567.0,1565.0,1565.0,1565.0,1567.0,1565.0,1565.0,1565.0,1562.0,1565.0,1565.0,1565.0,1567.0,1565.0,1565.0,1565.0,1567.0,1565.0,1565.0,1565.0,1567.0,1565.0,1565.0,1565.0,1567.0,1565.0,1565.0,1565.0,1567.0,1565.0,1565.0,1565.0,1567.0,1565.0,1565.0,1567.0,1567.0,1565.0,1565.0,1565.0,1565.0,1565.0,1565.0,1565.0,1565.0
mean,178260.296875,6360.027583125217,11069.975909929939,8379.915921885371,4738.423292766233,4415.95361328125,5281.82568359375,4707.5009765625,4224.75830078125,66.29661560058594,66.6573715209961,68.19624328613281,71.95149993896484,113598391.27300511,244987264.86001506,189448420.66973802,78512721.98697956,51449988.0,109003888.0,91310848.0,37382352.0,16912432.0,42227288.0,32132516.0,12289379.0,28273814.0,66836452.0,53731408.0,20360162.0,22079.76953125,26407.7109375,28245.00390625,21123.791015625,20745386.0,44699128.0,37226172.0,14903299.0,1.6968729496002197,0.3209955328653478,4792.469552098621,1103.96435546875,1134.104736328125,4415.95361328125,0.000638977624475956,0.2594249201277955,21.12379264831543,71.95149993896484
std,37901.8828125,3896.711977293039,6479.732946519387,5753.696767510406,3078.6824668618915,8093.75927734375,9473.8671875,8409.3173828125,7875.5810546875,79.93059539794922,79.62248229980469,85.3884506225586,115.08842468261719,202152412.28229633,423240874.0370493,332068950.0951994,141353672.40065584,199572624.0,424131200.0,355897632.0,146911712.0,84423544.0,206020176.0,158698640.0,62397828.0,130655416.0,312010592.0,250308000.0,95382288.0,40468.796875,47370.05078125,50455.90625,39377.90625,33629068.0,72622432.0,61336108.0,24532966.0,0.45975634455680847,0.46700811739941017,3592.930128647468,7139.72705078125,1131.961181640625,8093.75927734375,0.003189651295542717,0.43845920236749336,39.37790298461914,115.08842468261719
min,100654.0,-3110.3632203362486,-2399.368827653307,-2366.3210641539235,-2927.8209767284716,14.800000190734863,17.200000762939453,16.66666603088379,16.200000762939453,0.0,0.0,0.0,0.0,-2561765.0,-1784371.0,-10749274.0,-2901022.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74.0,86.0,100.0,81.0,0.0,0.0,0.0,0.0,1.0,0.0,-4815.773343144053,-4694.259765625,-4504.42431640625,14.800000190734863,0.0,0.0,0.08100000023841858,0.0
25%,150672.5,3101.8522731266494,5899.820369943793,4051.923541387385,2029.2016701123089,804.451171875,995.553955078125,914.1309204101562,709.0284423828125,44.183387756347656,43.216331481933594,44.3441047668457,47.13201904296875,22639711.0,48182132.5,38278142.0,14555241.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4022.255859375,4977.769775390625,5484.78564453125,3545.142333984375,5066828.0,12025544.5,9729644.0,3439000.0,1.0,0.0,2560.5031359938844,0.0,434.46337890625,804.451171875,0.0,0.0,3.545142412185669,47.13201904296875
50%,178396.0,5878.324489870765,9998.056433153875,7575.550034227828,4293.791022221018,1704.4537353515625,2127.41259765625,1878.4322509765625,1536.108154296875,55.089080810546875,53.75504684448242,54.909854888916016,57.81513595581055,52180643.0,113968535.0,87965840.0,33731344.0,66657.0,155482.0,93974.53125,38831.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8522.2685546875,10637.0625,11270.59375,7680.541015625,10391029.0,23842180.0,19321622.0,7081000.0,2.0,0.0,4186.474571516445,0.0,884.2705078125,1704.4537353515625,0.0,0.0,7.680541038513184,57.81513595581055
75%,211321.5,8592.047593003095,14536.253721568784,11130.041625143063,6595.283687867593,4648.50390625,5534.138427734375,4865.0,4358.12353515625,69.72906494140625,69.34900665283203,70.13274383544922,73.31775665283203,115404946.0,247345651.0,193864326.0,78865357.0,3851244.0,7727386.0,6839461.0,2633864.0,100000.0,749500.0,441000.0,0.0,378000.0,1361500.0,875000.0,25000.0,23242.51953125,27670.6923828125,29190.0,21790.6171875,22626038.0,48836732.0,41719752.0,15958287.0,2.0,1.0,6161.5008379769615,219.39697265625,1566.91064453125,4648.50390625,3.7781537685077637e-06,1.0,21.790616989135742,73.31775665283203
max,243823.0,21380.73417063172,61589.019500410475,108818.219693007,20278.905193067287,152581.75,165655.84375,147395.015625,138824.96875,2035.927978515625,1662.04248046875,2241.508544921875,3674.717529296875,2424583968.0,4949027272.0,4099386816.0,1489966976.0,2637113088.0,5595664384.0,4421471744.0,1856195200.0,1129364992.0,2724855808.0,2049784960.0,866129024.0,1620875008.0,3880825856.0,2948560896.0,1215496960.0,762908.75,828279.1875,884370.0625,694124.8125,583820992.0,1134054400.0,918565504.0,380548992.0,2.0,1.0,52638.39097435497,163944.5625,18290.798828125,152581.75,0.0426691435277462,1.0,694.1248168945312,3674.717529296875
