ms_center,st_id,date,present,att_tot,att_per,tk,gp,cp,sgi_sch_mat,sgi_sch_hin,sgi_att_mat,sgi_att_hin,sgi_att_mat_tot,sgi_att_hin_tot,mean_attend,cal_att_mat_tot,cal_att_hin_tot,cal_att_tot,treat,strata,m_theta_mle1_z,h_theta_mle1_z,m_theta_mle2_z,h_theta_mle2_z,st_female1,ses_index,d_sch_grade4,d_sch_grade5,d_sch_grade6,d_sch_grade7,d_sch_grade8,d_sch_grade9
GP,GP004,2015-10-17,0.0,0.0,0.0,Orientation,Orientation,Orientation,,,0.0,0.0,0.0,0.0,0.27795526,0.0,0.0,,1.0,9.0,-2.6531522,-3.8187048,,,1.0,1.325412,0.0,1.0,0.0,0.0,0.0,0.0
GP,GP054,2015-10-17,1.0,76.0,0.88372093,Orientation,Orientation,Orientation,,,0.0,0.0,26.0,29.0,0.27795526,30.0,23.0,53.0,1.0,9.0,-0.09633866,0.49047604,0.5740995,0.578881,1.0,-0.6318316,0.0,0.0,1.0,0.0,0.0,0.0
GP,GP052,2015-10-17,1.0,26.0,0.30232558,Orientation,Orientation,Orientation,,,0.0,0.0,10.0,10.0,0.27795526,13.0,8.0,21.0,1.0,9.0,0.24476467,-0.1921479,0.7901142,0.28540337,1.0,0.9525119,0.0,0.0,0.0,0.0,1.0,0.0
GP,GP038,2015-10-17,1.0,25.0,0.29069766,Orientation,Orientation,Orientation,,,0.0,0.0,11.0,8.0,0.27795526,12.0,9.0,21.0,1.0,9.0,0.5465986,0.7045074,1.6472906,2.289282,1.0,1.4008003,0.0,0.0,0.0,0.0,1.0,0.0
GP,GP002,2015-10-17,0.0,40.0,0.4651163,Orientation,Orientation,Orientation,,,0.0,0.0,14.0,15.0,0.27795526,16.0,12.0,28.0,1.0,9.0,0.5805937,1.4570948,0.5994049,-0.8729645,0.0,-0.7830804,0.0,0.0,0.0,0.0,1.0,0.0
GP,GP070,2015-10-17,1.0,67.0,0.7790698,Orientation,Orientation,Orientation,,,0.0,0.0,24.0,24.0,0.27795526,24.0,23.0,47.0,1.0,9.0,0.6108951,1.1197604,2.2903929,1.1210027,1.0,0.17331654,0.0,0.0,0.0,0.0,1.0,0.0
GP,GP017,2015-10-17,0.0,0.0,0.0,Orientation,Orientation,Orientation,,,0.0,0.0,0.0,0.0,0.27795526,0.0,0.0,,1.0,9.0,0.49944854,0.33343485,,,1.0,2.8873222,0.0,0.0,0.0,1.0,0.0,0.0
GP,GP091,2015-10-17,1.0,23.0,0.26744187,Orientation,Orientation,Orientation,,,0.0,0.0,9.0,7.0,0.27795526,10.0,8.0,18.0,1.0,9.0,1.2417508,0.40965846,,,1.0,0.32163784,0.0,0.0,0.0,0.0,1.0,0.0
GP,GP055,2015-10-17,1.0,74.0,0.8604651,Orientation,Orientation,Orientation,,,0.0,0.0,25.0,28.0,0.27795526,27.0,25.0,52.0,1.0,9.0,-0.5614256,0.16315691,0.7647619,0.53183454,1.0,-2.106704,0.0,0.0,0.0,1.0,0.0,0.0
GP,GP087,2015-10-17,1.0,50.0,0.5813953,Orientation,Orientation,Orientation,,,0.0,0.0,21.0,18.0,0.27795526,16.0,12.0,28.0,1.0,9.0,-0.09847182,0.04886622,1.0316228,-0.12443738,1.0,-2.7798877,0.0,0.0,0.0,0.0,1.0,0.0
GP,GP011,2015-10-17,1.0,65.0,0.75581396,Orientation,Orientation,Orientation,,,0.0,0.0,25.0,24.0,0.27795526,27.0,18.0,45.0,1.0,10.0,-1.0620891,-0.58227193,-0.35912246,0.18707532,1.0,-1.2528337,0.0,0.0,0.0,1.0,0.0,0.0
GP,GP019,2015-10-17,1.0,49.0,0.5697674,Orientation,Orientation,Orientation,,,0.0,0.0,17.0,20.0,0.27795526,20.0,17.0,37.0,1.0,10.0,-1.5393175,1.1408468,1.0193487,0.5130315,1.0,1.3052963,0.0,0.0,0.0,0.0,1.0,0.0
GP,GP089,2015-10-17,1.0,70.0,0.81395346,Orientation,Orientation,Orientation,,,0.0,0.0,22.0,29.0,0.27795526,27.0,30.0,57.0,1.0,10.0,0.40752882,-0.04677035,0.40669703,-0.21421365,1.0,1.4008003,0.0,0.0,1.0,0.0,0.0,0.0
