Country,year,Gross.Debt,GDP.capita.PPP,Reer.YoY,Overshoot,Developed,Center.Target,CPI,Revenue,deviation,DebtRev,Overshoot_y,GDP.Gap
New.Zealand,2000,30.017806266809,21519.15722764593,,1.0,0,1.5,4.0,38.451734025299,2.5,11.54236702594293,1.0,-0.006912178230171248
New.Zealand,2001,28.171356715944,22500.340216429904,-0.018435115808190017,0.0,0,1.5,1.8,38.528165832866,0.30000000000000004,10.85390703288714,0.0,-0.21771330288495266
New.Zealand,2002,26.402371594921,23306.279537627735,0.09199047119682158,0.0,0,1.5,2.6,39.31418004411,1.1,10.3798759047422,0.0,0.006374065907432946
New.Zealand,2003,24.699335393461,23968.39735158078,0.13629479344278694,0.0,0,1.5,1.6,40.317461461795,0.10000000000000009,9.95814502857813,0.0,-0.184280044748029
New.Zealand,2004,22.508952900245,25080.938263995184,0.06879487827514641,0.0,0,1.5,2.7,40.640146548719,1.2000000000000002,9.147671445241704,0.0,0.1011943170622418
New.Zealand,2005,20.791490710669,25677.419080325202,0.05480932700422825,1.0,0,1.5,3.2,42.245804224543,1.7000000000000002,8.78353246099327,1.0,-0.1943487183781697
New.Zealand,2006,18.398932071536,27759.04625110709,-0.07250247973584112,0.0,0,1.5,2.6,42.446105184499,1.1,7.809630059908691,0.0,-0.17968092857797063
New.Zealand,2007,16.297831669942,29386.637532207165,0.0696804442299388,1.0,0,1.5,3.2,40.631200724052,1.7000000000000002,6.6220046994822495,1.0,0.8341902791558797
New.Zealand,2008,18.979361627239,29860.527731851984,-0.0707325580921665,1.0,0,1.5,3.3,39.973620359484,1.7999999999999998,7.586737963526104,1.0,0.27773262709118934
New.Zealand,2009,24.320797958227,30698.931399297424,-0.06308156048823155,0.0,0,1.5,2.1,38.589509870306,0.6000000000000001,9.385276728627188,0.0,-0.375417690412249
New.Zealand,2010,29.681242276713,31254.41145219471,0.09475892372381334,1.0,0,1.5,3.9,37.627852963509,2.4,11.168414201624438,1.0,-0.7562238095664708
New.Zealand,2011,34.678606418879,32734.536666696877,0.04191409360595011,0.0,0,1.5,1.9,37.420899930425,0.3999999999999999,12.977046605274651,0.0,0.008220191132283977
New.Zealand,2012,35.713095403416,32986.18288871885,0.03372848073132095,0.0,0,1.5,1.0,37.535990371708,-0.5,13.405264052065123,0.0,0.4776819145968808
New.Zealand,2013,34.593112524676,36219.42400804772,0.021121000013685665,0.0,0,1.5,1.6,37.330335599912,0.10000000000000009,12.913724999916742,0.0,0.08576294762584052
New.Zealand,2014,34.231325721983,37260.62940099196,0.0263704006374601,0.0,0,1.5,0.7,37.274549098196,-0.8,12.759572313203948,0.0,-0.07138126249152685
New.Zealand,2015,34.325025815635,37475.17835959058,-0.07007304288216432,0.0,0,1.5,0.1,37.668698692672,-1.4,12.92979055067343,0.0,-0.23028708890327593
New.Zealand,2016,33.483037873744,39912.022042379154,0.008349830162653893,0.0,0,1.5,1.3,37.586747762895,-0.19999999999999996,12.58518498895876,0.0,-0.07458945477149168
New.Zealand,2017,31.277316701861,40922.38721846832,0.014506093572686174,0.0,0,1.5,1.6,37.068632884574,0.10000000000000009,11.594073704358403,0.0,0.1776257744056685
New.Zealand,2018,28.543172117097,42193.8180302676,-0.04201697578822994,0.0,0,1.5,1.9,37.856854770947,0.3999999999999999,10.80554721539085,0.0,0.19703967156900298
New.Zealand,2019,30.227897953302,,-0.015419083072825468,0.0,0,1.5,1.9,36.728467748726,0.3999999999999999,11.102243750896331,0.0,-0.20602328500849465
