,coef,se,t,p,published_coef,published_se
const,0.14319526627218948,0.012056854945312554,11.876668245715331,1.564808627432262e-32,0.143,(0.012)
voluntary,-0.028402366863905744,0.01630230814216292,-1.7422297883358155,0.08146824353308793,-0.028,(0.016)
