,coef,se,t,p,published_coef,published_se
const,0.146919431279621,0.012193282996542312,12.049210316965777,1.9581690664287817e-33,0.147,(0.007)
imposed,-0.045144283350627146,0.016030912109124516,-2.816077029386981,0.004861400924242435,-0.045,(0.016)
voluntary,-0.03804369163465035,0.016236716376093918,-2.343065602270658,0.01912601981299558,-0.038,(0.016)
